Date,Brexit,ln_brexit
2019-06-13,8043,8.99255742690407
2019-06-14,6163,8.72631895096224
2019-06-15,5108,8.53856321715243
2019-06-16,6114,8.71833650245078
2019-06-17,6953,8.84692850009902
2019-06-18,6835,8.82981174915805
2019-06-19,6761,8.81892608709068
2019-06-20,6384,8.76155013912964
2019-06-21,5522,8.6164953924901
2019-06-22,4355,8.3790798892866
2019-06-23,6956,8.84735987547417
2019-06-24,6233,8.73761303680885
2019-06-25,6228,8.73681053295389
2019-06-26,7309,8.89686174448039
2019-06-27,4980,8.5131851700187
2019-06-28,4316,8.37008432637803
2019-06-29,3898,8.26821888006751
2019-06-30,4324,8.3719361787591
2019-07-01,5048,8.52674740422105
2019-07-02,5244,8.56483984488359
2019-07-03,5136,8.5440298453698
2019-07-04,5516,8.61540823891319
2019-07-05,4987,8.51458980554612
2019-07-06,4274,8.36030543587909
2019-07-07,4527,8.41781474743596
2019-07-08,5500,8.61250337122056
2019-07-09,6548,8.78691493849103
2019-07-10,5563,8.62389281007529
2019-07-11,4917,8.50045386741194
2019-07-12,4635,8.44139147799996
2019-07-13,3946,8.28045768658256
2019-07-14,4581,8.42967259388674
2019-07-15,4897,8.49637805170232
2019-07-16,5222,8.56063574925907
2019-07-17,5318,8.57885257180297
2019-07-18,6464,8.77400360020093
2019-07-19,5850,8.6741969402259
2019-07-20,4416,8.39298958795693
2019-07-21,5419,8.59766657556611
2019-07-22,6550,8.7872203286293
2019-07-23,20779,9.94169814029988
2019-07-24,19942,9.90058333938874
2019-07-25,15960,9.6778408710038
2019-07-26,10774,9.28489110324048
2019-07-27,8864,9.08975340898706
2019-07-28,10060,9.21632244365373
2019-07-29,12695,9.44896349413878
2019-07-30,15644,9.65784273587541
2019-07-31,7740,8.95415696658377
2019-08-01,6807,8.82570677344795
2019-08-02,5932,8.68811670325782
2019-08-03,5447,8.60282027738367
2019-08-04,5276,8.5709235138372
2019-08-05,6641,8.80101783354071
2019-08-06,7368,8.90490157793514
2019-08-07,7490,8.92132407651127
2019-08-08,6766,8.81966534934065
2019-08-09,7927,8.97802993283716
2019-08-10,6944,8.84563325634019
2019-08-11,8236,9.01627006814768
2019-08-12,8927,9.09683567117936
2019-08-13,8213,9.01347354374019
2019-08-14,8795,9.08193865717166
2019-08-15,8283,9.02196050059826
2019-08-16,7121,8.87080344398212
2019-08-17,6340,8.75463404743127
2019-08-18,10816,9.28878179828275
2019-08-19,11858,9.38075802426731
2019-08-20,10864,9.29320984979848
2019-08-21,11997,9.39241189751493
2019-08-22,10881,9.29477342795101
2019-08-23,8036,8.99168672593483
2019-08-24,6685,8.80762148953604
2019-08-25,9012,9.10631230155214
2019-08-26,9385,9.14686794902061
2019-08-27,9319,9.13981060578566
2019-08-28,38931,10.5695461274053
2019-08-29,43017,10.6693506653831
2019-08-30,23845,10.0793298307323
2019-08-31,18539,9.82763190023259
2019-09-01,15784,9.66675204770245
2019-09-02,20537,9.92998341634009
2019-09-03,41020,10.6218150316264
2019-09-04,61426,11.0255884772731
2019-09-05,48891,10.7973486094441
2019-09-06,30896,10.3383820046683
2019-09-07,24461,10.1048352914799
2019-09-08,25059,10.128988323424
2019-09-09,33446,10.4176874769411
2019-09-10,31687,10.3636617811163
2019-09-11,22983,10.0425100911849
2019-09-12,22283,10.011579334887
2019-09-13,18181,9.80813237171927
2019-09-14,14742,9.59845584174923
2019-09-15,16269,9.69701673550917
2019-09-16,19489,9.87760548282203
2019-09-17,18988,9.85156247967121
2019-09-18,19605,9.88353991472643
2019-09-19,19394,9.87271901886449
2019-09-20,13879,9.53813218535584
2019-09-21,12080,9.39930647148881
2019-09-22,13411,9.50383054471094
2019-09-23,19463,9.87627050624258
2019-09-24,26392,10.1808162129084
2019-09-25,23635,10.0704839432273
2019-09-26,17007,9.74138030299241
2019-09-27,14149,9.55739922919595
2019-09-28,12873,9.46288737365964
2019-09-29,13445,9.50636256870297
2019-09-30,15708,9.6619254156979
2019-10-01,18749,9.83889569664295
2019-10-02,20743,9.93996411934615
2019-10-03,19721,9.88943933681007
2019-10-04,16972,9.73932020632222
2019-10-05,12574,9.43938646894301
2019-10-06,13685,9.52405562147478
2019-10-07,17111,9.74747681053197
2019-10-08,19830,9.89495122151384
2019-10-09,18663,9.83429823318313
2019-10-10,16609,9.717699996099
2019-10-11,15136,9.62483129129166
2019-10-12,13708,9.5257348829945
2019-10-13,14201,9.56106766364501
2019-10-14,20220,9.91442749257446
2019-10-15,20038,9.90538574981921
